x,median,lower,upper,minimum,maximum
0,1,1,1,1,1
0.01,1.0104661345981465,1,1.0275544142016675,0.976709591732268,1.1252402610409145
0.02,1.0160161205531804,1,1.0501995173322953,0.9229998976561268,1.2324541390706378
0.03,1.0318686228085792,1,1.0808693519436925,0.9402957056831167,1.3445558181741275
0.04,1.0347055781611492,1,1.1131453149852426,0.8509048980232773,1.8786009632415113
0.05,1.0492038581496628,1,1.1474372445205616,0.8783538459370428,2.1276502845056497
0.060000000000000005,1.057487882701842,1,1.1697636246927017,0.8783125148904685,2.081076594681133
0.07,1.0723123251811506,1,1.206696054502571,0.7611574639225005,2.04392315663231
0.08,1.08177974342793,1,1.230189715217385,0.8469088157404603,2.3490462083416177
0.09,1.0983682612927481,1,1.274533427352341,0.8417781024423227,2.558416274538847
0.09999999999999999,1.102617273120341,1,1.3028792978893495,0.7201498960365471,2.428552748749025
